グループ,No.,カテゴリ,店舗・施設名,都道府県,住所,電話番号,公式URL,問い合わせ先,ハラル認証状況,使用食材（競合情報）,優先度,アプローチメモ
黒樺牛グループ,16,ラーメン,麺屋帆のる 恵比寿店,東京都,渋谷区恵比寿,03-5734-1667,https://halalramen-honolu.net/,TEL・サイト,ハラール認証（2020年取得）,黒樺牛（競合）,★★,黒樺牛使用確認→天幸牛への乗換提案。IG: @honolu_ebisu
黒樺牛グループ,17,ラーメン,麺屋帆のる 新宿御苑前店,東京都,新宿区新宿1-31-3 ダイアパレス新宿1丁目,03-5357-7664,https://hitosara.com/0031614611/,TEL,ハラール認証済,黒樺牛（競合）,★★,黒樺牛使用確認→天幸牛への乗換提案
黒樺牛グループ,24,焼肉,焼肉たかやま 大崎店,東京都,品川区大崎2-1-1 Think Park 2F,03-3491-2919,https://yakiniku-takayama-ohsaki.owst.jp/,TEL・サイト,不明（要確認）,黒樺牛（競合）,★★,黒樺牛仕入れ確認。ハラル認証有無確認後に天幸牛提案
黒樺牛グループ,25,焼肉,焼肉たかやま 新橋店,東京都,港区新橋,,https://yakinikutakayama-shinbashi.owst.jp/,TEL・サイト,不明（要確認）,黒樺牛（競合）,★★,黒樺牛仕入れ確認。IG: @yakiniku.takayama
黒樺牛グループ,26,焼肉,焼肉たかやま 港南台店,神奈川県,横浜市港南区,,https://takayama-konandai.owst.jp/,TEL・サイト,不明（要確認）,黒樺牛（競合）,★,黒樺牛仕入れ確認。横浜エリア
神戸牛グループ,9,ステーキ,GINZA THE EMPEROR（銀座初ハラル神戸牛専門店）,東京都,中央区銀座7-6-10 アソルティ銀座6F,03-6264-5394,https://emperor-ginza.com/,TEL・問合せフォーム,JHF認証済,ハラル神戸牛（競合）,★★,神戸牛の代替・追加食材として天幸牛を提案
神戸牛グループ,10,焼肉,神戸牛焼肉ハラール和牛 肉兵衛 赤坂本店,東京都,港区赤坂3-10-5 赤坂クィーンビル2F,,https://nikubei-akasaka.com/ja/,サイト問合せ,ハラール認証済,100ヶ月熟成神戸牛（競合）,★★,豚肉・アルコール完全不使用。神戸牛仕入れの代替提案
神戸牛グループ,11,居酒屋,博多前炉ばた 一承 東京上野,東京都,台東区上野（上野駅浅草口徒歩1分）,,https://issho-ueno.com/,サイト問合せ,辰屋ハラル神戸牛使用,ハラル神戸牛（辰屋）,★,ハラル神戸牛ステーキコース提供。IG: @hakatamaerobata.issho.ueno
神戸牛グループ,38,ステーキ,元祖 鉄板焼ステーキ みその 神戸本店,兵庫県,神戸市（三宮）,,https://misono.org/halal/,メール予約のみ（サイト参照）,ハラール認証済,ハラル神戸牛（競合）,★,世界初ハラール神戸牛ステーキ。完全予約制。三田食肉公社仕入れ
神戸牛グループ,39,精肉・卸,神戸元町 辰屋（ハラル神戸牛卸・通販）,兵庫県,神戸市中央区元町,078-331-3016,https://kobebeef.co.jp/,直電,ハラール神戸牛取扱（辰屋ブランド）,神戸牛（競合）,★,精肉店・EC・一部レストランへ卸。競合仕入れ先として把握
